raw_ids	SYMBOL	GENENAME
NM_199812	zgc:66472	zgc:66472
NM_001244778	si:ch73-109d9.2	si:ch73-109d9.2
NM_001030268	cabp2a	calcium binding protein 2a
NM_001201344	slc43a3a	solute carrier family 43 member 3a
NM_001002678	timm10	translocase of inner mitochondrial membrane 10 homolog (yeast)
NM_001288816	unc93b1	unc-93 homolog B1, TLR signaling regulator
NM_001100437	crybb1l2	crystallin, beta B1, like 2
NM_203479	rtn4rl2a	reticulon 4 receptor-like 2 a
NM_001002113	tmx2b	thioredoxin-related transmembrane protein 2b
NM_001003416	med19b	mediator complex subunit 19b
NM_001083000	slc43a1b	solute carrier family 43 member 1b
NM_001256200	pold4	DNA polymerase delta 4, accessory subunit
NM_198986	p2rx3b	purinergic receptor P2X, ligand-gated ion channel, 3b
NM_001145608	si:dkey-9i23.4	si:dkey-9i23.4
NM_001145609	si:dkey-9i23.5	si:dkey-9i23.5
NM_213139	ndufs8a	NADH:ubiquinone oxidoreductase core subunit S8a
NM_001081692	kdm2aa	lysine (K)-specific demethylase 2Aa
NM_001145559	si:dkey-9i23.15	si:dkey-9i23.15
NM_001145610	tmem176	transmembrane protein 176
NM_001145611	si:dkey-9i23.16	si:dkey-9i23.16
NM_199662	dnaja1	DnaJ heat shock protein family (Hsp40) member A1
NM_001003728	rps6	ribosomal protein S6
NM_001017803	zgc:111983	zgc:111983
NM_001328342	ddx39aa	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39Aa
NM_001256730	emp1	epithelial membrane protein 1
NM_001006078	f8a	coagulation factor VIII associated
NM_001145709	si:ch211-243a20.3	si:ch211-243a20.3
NM_001077603	atf7ip	activating transcription factor 7 interacting protein
NM_001024418	septin3	septin 3
NM_199615	serhl	serine hydrolase like
NM_001002482	trappc5	trafficking protein particle complex subunit 5
NM_001328165	mcoln1a	mucolipin TRP cation channel 1a
NM_001075102	lipt1	lipoyltransferase 1
